"V2" "V3" "V4" "location" "arm"
"KIFC2" "chr8" 145691426 145699585 "8q24.3" "q"
"PPP1R16A" "chr8" 145703352 145727504 "8q24.3" "q"
"GPT" "chr8" 145728356 145732557 "8q24.3" "q"
"MFSD3" "chr8" 145734457 145736596 "8q24.3" "q"
"LRRC14" "chr8" 145743376 145750557 "8q24.3" "q"
"C8orf82" "chr8" 145751117 145754516 "8q24.3" "q"
"RPL8" "chr8" 146015150 146017972 "8q24.3" "q"
"ZNF7" "chr8" 146052849 146072894 "8q24.3" "q"
"COMMD5" "chr8" 146066427 146079121 "8q24.3" "q"
"C8orf33" "chr8" 146277764 146281416 "8q24.3" "q"
"CBWD1" "chr9" 121041 188979 "9p24.3" "p"
"KANK1" "chr9" 470291 746105 "9p24.3" "p"
"SMARCA2" "chr9" 2015342 2193624 "9p24.3" "p"
"CDC37L1" "chr9" 4679559 4708398 "9p24.1" "p"
"AK3" "chr9" 4711155 4742043 "9p24.1" "p"
"RCL1" "chr9" 4792869 4885917 "9p24.1" "p"
"PLGRKT" "chr9" 5357973 5437878 "9p24.1" "p"
"ERMP1" "chr9" 5765076 5833117 "9p24.1" "p"
"KIAA2026" "chr9" 5881596 6007901 "9p24.1" "p"
"IL33" "chr9" 6215805 6257983 "9p24.1" "p"
"UHRF2" "chr9" 6413151 6507054 "9p24.1" "p"
"RP11-390F4.3" "chr9" 6716548 6727438 NA "q"
"KDM4C" "chr9" 6720863 7175648 "9p24.1" "p"
"TMEM261" "chr9" 7796490 7888380 NA "q"
"LURAP1L" "chr9" 12775020 12822130 "9p23" "p"
"NFIB" "chr9" 14081842 14398982 "9p23-p22.3" "p"
"ZDHHC21" "chr9" 14611069 14693469 "9p22.3" "p"
"TTC39B" "chr9" 15163620 15307358 "9p22.3" "p"
"SNAPC3" "chr9" 15422702 15465951 "9p22.3" "p"
"PSIP1" "chr9" 15464064 15511017 "9p22.3" "p"
"RRAGA" "chr9" 19049372 19051019 "9p22.1" "p"
"HAUS6" "chr9" 19053141 19103117 "9p22.1" "p"
"PLIN2" "chr9" 19108373 19149288 "9p22.1" "p"
"DENND4C" "chr9" 19230433 19374139 "9p22.1" "p"
"RPS6" "chr9" 19375713 19380252 "9p22.1" "p"
"MLLT3" "chr9" 20341663 20622542 "9p21.3" "p"
"FOCAD" "chr9" 20658308 20995954 "9p21.3" "p"
"KLHL9" "chr9" 21329670 21335379 "9p21.3" "p"
"MTAP" "chr9" 21802542 21931646 "9p21.3" "p"
"CDKN2A" "chr9" 21967751 21995300 "9p21.3" "p"
"CDKN2B" "chr9" 22002902 22009362 "9p21.3" "p"
"TUSC1" "chr9" 25676396 25678856 "9p21.2" "p"
"CAAP1" "chr9" 26840683 26892802 "9p21.2" "p"
"PLAA" "chr9" 26904081 26947461 "9p21.2" "p"
"IFT74" "chr9" 26947037 27062928 "9p21.2" "p"
"MOB3B" "chr9" 27325207 27529779 "9p21.2" "p"
"ACO1" "chr9" 32384618 32454767 "9p21.1" "p"
"TOPORS" "chr9" 32540542 32552551 "9p21.1" "p"
"TOPORS-AS1" "chr9" 32551142 32567003 NA "q"
"NDUFB6" "chr9" 32552997 32573160 "9p21.1" "p"
"APTX" "chr9" 32972604 33025166 "9p21.1" "p"
"DNAJA1" "chr9" 33025209 33039905 "9p21.1" "p"
"SMU1" "chr9" 33041762 33076665 "9p21.1" "p"
"B4GALT1" "chr9" 33104080 33167354 "9p21.1" "p"
"SPINK4" "chr9" 33218363 33248565 "9p13.3" "p"
"BAG1" "chr9" 33247818 33264761 "9p13.3" "p"
"CHMP5" "chr9" 33264940 33281977 "9p13.3" "p"
"NFX1" "chr9" 33290509 33371155 "9p13.3" "p"
"AQP3" "chr9" 33441152 33447609 "9p13.3" "p"
"NOL6" "chr9" 33461439 33473928 "9p13.3" "p"
"PRSS3" "chr9" 33750515 33799230 "9p13.3" "p"
"UBE2R2" "chr9" 33817565 33920402 "9p13.3" "p"
"UBAP2" "chr9" 33921691 34048947 "9p13.3" "p"
"DCAF12" "chr9" 34086385 34127397 "9p13.3" "p"
"UBAP1" "chr9" 34179003 34252521 "9p13.3" "p"
"NUDT2" "chr9" 34329504 34343709 "9p13.3" "p"
"KIAA1161" "chr9" 34366668 34376851 NA "q"
"RPP25L" "chr9" 34610483 34612101 "9p13.3" "p"
"DCTN3" "chr9" 34613548 34620515 "9p13.3" "p"
"SIGMAR1" "chr9" 34634719 34637806 "9p13.3" "p"
"GALT" "chr9" 34646642 34657110 "9p13.3" "p"
"VCP" "chr9" 35056061 35073246 "9p13.3" "p"
"PIGO" "chr9" 35088685 35096591 "9p13.3" "p"
"STOML2" "chr9" 35099888 35103154 "9p13.3" "p"
"FAM214B" "chr9" 35104109 35116338 "9p13.3" "p"
"UNC13B" "chr9" 35161999 35405335 "9p13.3" "p"
"TESK1" "chr9" 35605367 35610038 "9p13.3" "p"
"CCDC107" "chr9" 35658301 35661508 "9p13.3" "p"
"CA9" "chr9" 35673853 35681156 "9p13.3" "p"
"TPM2" "chr9" 35681989 35691017 "9p13.3" "p"
"TLN1" "chr9" 35696945 35732392 "9p13.3" "p"
"CREB3" "chr9" 35732332 35737001 "9p13.3" "p"
"GBA2" "chr9" 35736863 35749983 "9p13.3" "p"
"RGP1" "chr9" 35749203 35758572 "9p13.3" "p"
"HINT2" "chr9" 35812957 35815351 "9p13.3" "p"
"HRCT1" "chr9" 35906189 35907138 "9p13.3" "p"
"CLTA" "chr9" 36190853 36304778 "9p13.3" "p"
"GNE" "chr9" 36214438 36277053 "9p13.3" "p"
"RNF38" "chr9" 36336393 36487545 "9p13.2" "p"
"MELK" "chr9" 36572859 36677678 "9p13.2" "p"
"ZCCHC7" "chr9" 37120536 37358146 "9p13.2" "p"
"GRHPR" "chr9" 37422663 37436987 "9p13.2" "p"
"POLR1E" "chr9" 37485932 37503694 "9p13.2" "p"
"TOMM5" "chr9" 37582643 37592639 "9p13.2" "p"
"TRMT10B" "chr9" 37753804 37778969 "9p13.2" "p"
"EXOSC3" "chr9" 37766975 37801434 "9p13.2" "p"
"DCAF10" "chr9" 37800499 37867663 "9p13.2" "p"
"SHB" "chr9" 37919131 38069210 "9p13.1" "p"
"ALDH1B1" "chr9" 38392661 38398658 "9p13.1" "p"
"CBWD5" "chr9" 70432004 70497240 "9q21.11" "q"
"CBWD3" "chr9" 70856397 70914929 "9q21.11" "q"
"PIP5K1B" "chr9" 71320575 71624092 "9q21.11" "q"
"FAM122A" "chr9" 71394964 71398609 "9q21.11" "q"
"FXN" "chr9" 71650175 71715094 "9q21.11" "q"
"TJP2" "chr9" 71736209 71870124 "9q21.11" "q"
"PTAR1" "chr9" 72324438 72374875 "9q21.12" "q"
"SMC5" "chr9" 72873937 72969804 "9q21.12" "q"
"TMEM2" "chr9" 74298282 74431606 NA "q"
"ABHD17B" "chr9" 74477368 74525847 "9q21.13" "q"
"C9orf85" "chr9" 74526426 74600970 "9q21.13" "q"
"GDA" "chr9" 74729511 74872109 "9q21.13" "q"
"ZFAND5" "chr9" 74966341 74980163 "9q21.13" "q"
"ALDH1A1" "chr9" 75515578 75695358 "9q21.13" "q"
"ANXA1" "chr9" 75766673 75785309 "9q21.13" "q"
"C9orf40" "chr9" 77561497 77567802 "9q21.13" "q"
"NMRK1" "chr9" 77675489 77703133 "9q21.13" "q"
"OSTF1" "chr9" 77703459 77762181 "9q21.13" "q"
"RFK" "chr9" 79000433 79009433 "9q21.13" "q"
"GCNT1" "chr9" 79034752 79122332 "9q21.13" "q"
"PRUNE2" "chr9" 79226292 79521003 "9q21.2" "q"
"VPS13A" "chr9" 79792269 80036457 "9q21.2" "q"
"GNAQ" "chr9" 80331003 80646374 "9q21.2" "q"
"CEP78" "chr9" 80850978 80894606 "9q21.2" "q"
"PSAT1" "chr9" 80912059 80945009 "9q21.2" "q"
"TLE4" "chr9" 82186688 82341658 "9q21.31" "q"
"TLE1" "chr9" 84198598 84304220 "9q21.32" "q"
"RASEF" "chr9" 85594500 85678092 "9q21.32" "q"
"IDNK" "chr9" 86237964 86259045 "9q21.32" "q"
"UBQLN1" "chr9" 86274878 86323118 "9q21.32|9q21.2-q21.3" "q"
"HNRNPK" "chr9" 86582998 86595569 "9q21.32" "q"
"NAA35" "chr9" 88556061 88637213 "9q21.33" "q"
"GOLM1" "chr9" 88641061 88715088 "9q21.33" "q"
"ISCA1" "chr9" 88879461 88897676 "9q21.33" "q"
"ZCCHC6" "chr9" 88902648 88969369 NA "q"
"CTSL" "chr9" 90340434 90346308 "9q21.33" "q"
"SPIN1" "chr9" 91003334 91093609 "9q22.1" "q"
"CKS2" "chr9" 91926113 91931618 "9q22.2" "q"
"SECISBP2" "chr9" 91933421 91974557 "9q22.2" "q"
"SEMA4D" "chr9" 91975702 92113045 "9q22.2" "q"
"GADD45G" "chr9" 92219928 92221470 "9q22.2" "q"
"SYK" "chr9" 93564069 93660831 "9q22.2" "q"
"AUH" "chr9" 93976097 94124195 "9q22.31" "q"
"NFIL3" "chr9" 94171327 94186144 "9q22.31" "q"
"SPTLC1" "chr9" 94794281 94877666 "9q22.31" "q"
"IARS" "chr9" 94972489 95056038 NA "q"
"NOL8" "chr9" 95059640 95087918 "9q22.31" "q"
"SUSD3" "chr9" 95820989 95847420 "9q22.31" "q"
"NINJ1" "chr9" 95883771 95896570 "9q22.31" "q"
"WNK2" "chr9" 95947198 96082854 "9q22.31" "q"
"FAM120AOS" "chr9" 96208776 96215874 "9q22.31" "q"
"FAM120A" "chr9" 96214004 96328397 "9q22.31" "q"
"FBP1" "chr9" 97365415 97402531 "9q22.32" "q"
"C9orf3" "chr9" 97488983 97849441 NA "q"
"SLC35D2" "chr9" 99082988 99145992 "9q22.32" "q"
"AAED1" "chr9" 99401859 99417585 NA "q"
"CTSV" "chr9" 99794940 99801925 "9q22.33" "q"
"NCBP1" "chr9" 100395908 100436030 "9q22.33" "q"
"XPA" "chr9" 100437191 100459639 "9q22.33" "q"
"ANP32B" "chr9" 100745643 100778225 "9q22.33" "q"
"NANS" "chr9" 100819021 100845357 "9q22.33" "q"
"TRIM14" "chr9" 100831557 100881494 "9q22.33" "q"
"CORO2A" "chr9" 100883257 100954922 "9q22.33" "q"
"ANKS6" "chr9" 101493611 101559247 "9q22.33" "q"
"GALNT12" "chr9" 101569981 101612363 "9q22.33" "q"
"TGFBR1" "chr9" 101866320 101916474 "9q22.33" "q"
"ALG2" "chr9" 101978708 101984238 "9q22.33" "q"
"SEC61B" "chr9" 101984346 101992897 "9q22.33" "q"
"STX17" "chr9" 102668915 102732618 "9q31.1" "q"
"ERP44" "chr9" 102741461 102861322 "9q31.1" "q"
"TEX10" "chr9" 103064359 103115221 "9q31.1" "q"
"MSANTD3" "chr9" 103189438 103213511 "9q31.1" "q"
"MRPL50" "chr9" 104149915 104160896 "9q31.1" "q"
"ALDOB" "chr9" 104182860 104198105 "9q31.1" "q"
"TMEM246" "chr9" 104235453 104295819 NA "q"
"RNF20" "chr9" 104296133 104325622 "9q31.1" "q"
"SMC2" "chr9" 106856541 106903698 "9q31.1" "q"
"NIPSNAP3A" "chr9" 107509969 107522403 "9q31.1" "q"
"SLC44A1" "chr9" 108006903 108201452 "9q31.1-q31.2" "q"
"TMEM38B" "chr9" 108456825 108538893 "9q31.2" "q"
"ZNF462" "chr9" 109625378 109775915 "9q31.2" "q"
"RAD23B" "chr9" 110045418 110094475 "9q31.2" "q"
"KLF4" "chr9" 110247133 110252763 "9q31.2" "q"
"IKBKAP" "chr9" 111629797 111696396 NA "q"
"FAM206A" "chr9" 111696461 111713024 NA "q"
"CTNNAL1" "chr9" 111704851 111775809 "9q31.3" "q"
"TMEM245" "chr9" 111777432 111882225 "9q31.3" "q"
"EPB41L4B" "chr9" 111934255 112083244 "9q31.3" "q"
"PTPN3" "chr9" 112137746 112260590 "9q31.3" "q"
"C9orf152" "chr9" 112952328 112970469 "9q31.3" "q"
"TXN" "chr9" 113006091 113018920 "9q31.3" "q"
"KIAA0368" "chr9" 114122972 114247025 NA "q"
"PTGR1" "chr9" 114312002 114362135 "9q31.3" "q"
"DNAJC25" "chr9" 114393632 114432508 "9q31.3" "q"
"UGCG" "chr9" 114659046 114697649 "9q31.3" "q"
"PTBP3" "chr9" 114980715 115095947 "9q32" "q"
"HSDL2" "chr9" 115142217 115234690 "9q32" "q"
"INIP" "chr9" 115446206 115480516 "9q32" "q"
"SNX30" "chr9" 115513118 115643951 "9q32" "q"
"FKBP15" "chr9" 115923286 115983641 "9q32" "q"
"SLC31A1" "chr9" 115983808 116028674 "9q32" "q"
"CDC26" "chr9" 116018115 116037869 "9q32" "q"
"PRPF4" "chr9" 116037623 116055185 "9q32" "q"
"BSPRY" "chr9" 116111821 116133513 "9q32" "q"
"HDHD3" "chr9" 116135699 116139279 "9q32" "q"
"ALAD" "chr9" 116148597 116163613 "9q32" "q"
"POLE3" "chr9" 116169515 116172952 "9q32" "q"
"RGS3" "chr9" 116207011 116360018 "9q32" "q"
"KIF12" "chr9" 116848406 116861507 "9q32" "q"
"COL27A1" "chr9" 116917840 117074791 "9q32" "q"
"AKNA" "chr9" 117096436 117156685 "9q32" "q"
"ATP6V1G1" "chr9" 117350026 117360653 "9q32" "q"
"CDK5RAP2" "chr9" 123151147 123342448 "9q33.2" "q"
"FBXW2" "chr9" 123514256 123555690 "9q33.2" "q"
"PSMD5" "chr9" 123577774 123605262 "9q33.2" "q"
"PSMD5-AS1" "chr9" 123587106 123616651 NA "q"
"PHF19" "chr9" 123617977 123639606 "9q33.2" "q"
"RAB14" "chr9" 123940415 123985292 "9q33.2" "q"
"GSN" "chr9" 123970072 124095121 "9q33.2" "q"
"STOM" "chr9" 124101355 124132531 "9q33.2" "q"
"DAB2IP" "chr9" 124329336 124547809 "9q33.2" "q"
"NDUFA8" "chr9" 124894745 124922098 "9q33.2" "q"
"RBM18" "chr9" 124999903 125027118 "9q33.2" "q"
"MRRF" "chr9" 125026882 125085743 "9q33.2" "q"
"PDCL" "chr9" 125560668 125590910 "9q33.2" "q"
"RC3H2" "chr9" 125606835 125667620 "9q33.2" "q"
"RABGAP1" "chr9" 125703112 125867145 "9q33.2-q33.3" "q"
"STRBP" "chr9" 125871779 126030855 "9q33.3" "q"
"DENND1A" "chr9" 126141933 126692431 "9q33.3" "q"
"NEK6" "chr9" 127019885 127115586 "9q33.3" "q"
"PSMB7" "chr9" 127115745 127177723 "9q33.3" "q"
"NR6A1" "chr9" 127279554 127533589 "9q33.3" "q"
"RPL35" "chr9" 127620159 127624260 "9q33.3" "q"
"ARPC5L" "chr9" 127624409 127640003 "9q33.3" "q"
"PPP6C" "chr9" 127908852 127952218 "9q33.3" "q"
"RABEPK" "chr9" 127962821 127996437 "9q33.3" "q"
"HSPA5" "chr9" 127997132 128003609 "9q33.3" "q"
"GAPVD1" "chr9" 128024073 128129486 "9q33.3" "q"
"MAPKAP1" "chr9" 128199672 128469513 "9q33.3" "q"
"ZBTB43" "chr9" 129567285 129600489 "9q33.3" "q"
"RALGPS1" "chr9" 129677053 129985445 "9q33.3" "q"
"SLC2A8" "chr9" 130159421 130170703 "9q33.3" "q"
"RPL12" "chr9" 130209953 130213684 "9q33.3" "q"
"FAM129B" "chr9" 130267618 130341268 NA "q"
"STXBP1" "chr9" 130374544 130457460 "9q34.11" "q"
"PTRH1" "chr9" 130455257 130487152 "9q34.11" "q"
"TOR2A" "chr9" 130493803 130497604 "9q34.11" "q"
"CDK9" "chr9" 130547958 130553066 "9q34.11" "q"
"FPGS" "chr9" 130556876 130576606 "9q34.11" "q"
"AK1" "chr9" 130628759 130640022 "9q34.11" "q"
"ST6GALNAC6" "chr9" 130647600 130667687 "9q34.11" "q"
"ST6GALNAC4" "chr9" 130670165 130679317 "9q34.11" "q"
"DPM2" "chr9" 130697378 130700763 "9q34.11" "q"
"FAM102A" "chr9" 130702858 130742792 "9q34.11" "q"
"SLC25A25" "chr9" 130830480 130871524 "9q34.11" "q"
"PTGES2" "chr9" 130882972 130890741 "9q34.11" "q"
"LCN2" "chr9" 130911350 130915734 "9q34.11" "q"
"C9orf16" "chr9" 130922539 130926207 "9q34.11" "q"
"CIZ1" "chr9" 130928343 130966662 "9q34.11" "q"
"GOLGA2" "chr9" 131018108 131038274 "9q34.11" "q"
"SWI5" "chr9" 131037658 131051269 "9q34.11" "q"
"TRUB2" "chr9" 131071382 131085021 "9q34.11" "q"
"COQ4" "chr9" 131084815 131096351 "9q34.11" "q"
"SLC27A4" "chr9" 131102925 131123749 "9q34.11" "q"
"URM1" "chr9" 131133598 131153015 "9q34.11" "q"
"ODF2" "chr9" 131217465 131263571 "9q34.11" "q"
"GLE1" "chr9" 131266979 131304567 "9q34.11" "q"
"SPTAN1" "chr9" 131314866 131395941 "9q34.11" "q"
"WDR34" "chr9" 131395940 131419066 NA "q"
"SET" "chr9" 131445703 131458679 "9q34.11" "q"
"ZDHHC12" "chr9" 131483148 131486406 "9q34.11" "q"
"ENDOG" "chr9" 131580753 131584956 "9q34.11" "q"
"C9orf114" "chr9" 131581930 131592100 NA "q"
"LRRC8A" "chr9" 131644391 131680318 "9q34.11" "q"
"DOLK" "chr9" 131707809 131709898 "9q34.11" "q"
"NUP188" "chr9" 131709978 131769375 "9q34.11" "q"
"SH3GLB2" "chr9" 131769315 131790582 "9q34.11" "q"
"FAM73B" "chr9" 131798900 131834361 NA "q"
"DOLPP1" "chr9" 131843379 131852717 "9q34.11" "q"
"CRAT" "chr9" 131857089 131873468 "9q34.11" "q"
"PPP2R4" "chr9" 131873229 131911225 NA "q"
"IER5L" "chr9" 131937835 131940540 "9q34.11" "q"
"NTMT1" "chr9" 132371163 132398209 "9q34.11" "q"
"ASB6" "chr9" 132399171 132404444 "9q34.11" "q"
"PTGES" "chr9" 132500610 132515326 "9q34.11" "q"
"TOR1B" "chr9" 132565432 132573560 "9q34.11" "q"
"TOR1A" "chr9" 132575223 132586413 "9q34.11" "q"
"C9orf78" "chr9" 132589569 132598142 "9q34.11" "q"
"FNBP1" "chr9" 132649466 132805473 "9q34.11" "q"
"GPR107" "chr9" 132815705 132902448 "9q34.11" "q"
"ASS1" "chr9" 133320316 133376661 "9q34.11" "q"
"FUBP3" "chr9" 133454352 133513739 "9q34.11-q34.12" "q"
"EXOSC2" "chr9" 133569108 133580248 "9q34.12" "q"
"ABL1" "chr9" 133589333 133763062 "9q34.12" "q"
"FIBCD1" "chr9" 133777825 133814673 "9q34.12" "q"
"NUP214" "chr9" 134000948 134110057 "9q34.13" "q"
"PRRC2B" "chr9" 134269480 134375584 "9q34.13" "q"
"POMT1" "chr9" 134378289 134399193 "9q34.13" "q"
"UCK1" "chr9" 134399188 134406655 "9q34.13" "q"
"RAPGEF1" "chr9" 134452157 134615461 "9q34.13" "q"
"MED27" "chr9" 134735494 134955295 "9q34.13" "q"
"SETX" "chr9" 135136743 135230372 "9q34.13" "q"
"TTF1" "chr9" 135251008 135282209 "9q34.13" "q"
"GTF3C4" "chr9" 135545422 135570342 "9q34.13" "q"
"TSC1" "chr9" 135766735 135820020 "9q34.13" "q"
"GTF3C5" "chr9" 135906076 135933890 "9q34.13" "q"
"CEL" "chr9" 135937365 135947248 "9q34.13" "q"
"RALGDS" "chr9" 135973107 136039301 "9q34.13-q34.2" "q"
"ABO" "chr9" 136125788 136150617 "9q34.2" "q"
"SURF6" "chr9" 136197552 136203235 "9q34.2" "q"
"RPL7A" "chr9" 136215069 136218281 "9q34.2" "q"
"SURF1" "chr9" 136218610 136223552 "9q34.2" "q"
"SURF2" "chr9" 136223428 136228045 "9q34.2" "q"
"SURF4" "chr9" 136228325 136242970 "9q34.2" "q"
"REXO4" "chr9" 136271186 136283164 "9q34.2" "q"
"CACFD1" "chr9" 136325089 136335970 "9q34.2" "q"
"VAV2" "chr9" 136627016 136857726 "9q34.2" "q"
"BRD3" "chr9" 136895427 136933657 "9q34.2" "q"
"WDR5" "chr9" 137000487 137025093 "9q34.2" "q"
"RXRA" "chr9" 137208944 137332431 "9q34.2" "q"
"PPP1R26" "chr9" 138370925 138380739 "9q34.3" "q"
"C9orf116" "chr9" 138387027 138393580 "9q34.3" "q"
"MRPS2" "chr9" 138391830 138396519 "9q34.3" "q"
"CAMSAP1" "chr9" 138700333 138799074 "9q34.3" "q"
"UBAC1" "chr9" 138824815 138853226 "9q34.3" "q"
"C9orf69" "chr9" 139006427 139010731 NA "q"
"QSOX2" "chr9" 139098179 139137687 "9q34.3" "q"
"SDCCAG3" "chr9" 139296377 139305061 NA "q"
"PMPCA" "chr9" 139305110 139318213 "9q34.3" "q"
"SEC16A" "chr9" 139334549 139372141 "9q34.3" "q"
"NOTCH1" "chr9" 139388896 139440314 "9q34.3" "q"
"EGFL7" "chr9" 139553308 139567130 "9q34.3" "q"
"AGPAT2" "chr9" 139567595 139581875 "9q34.3" "q"
"SNHG7" "chr9" 139615818 139622636 "9q34.3" "q"
"LCN15" "chr9" 139654086 139660707 "9q34.3" "q"
"TMEM141" "chr9" 139685807 139687709 "9q34.3" "q"
"RABL6" "chr9" 139702374 139735639 "9q34.3" "q"
"PHPT1" "chr9" 139743176 139745488 "9q34.3" "q"
"EDF1" "chr9" 139756571 139760738 "9q34.3" "q"
"TRAF2" "chr9" 139776364 139821059 "9q34.3" "q"
"FBXW5" "chr9" 139834887 139839148 "9q34.3" "q"
"C9orf142" "chr9" 139886870 139888436 NA "q"
"CLIC3" "chr9" 139889087 139891255 "9q34.3" "q"
"ABCA2" "chr9" 139901686 139923367 "9q34.3" "q"
"NPDC1" "chr9" 139933922 139940655 "9q34.3" "q"
"ENTPD2" "chr9" 139942550 139948497 "9q34.3" "q"
"SAPCD2" "chr9" 139956581 139965040 "9q34.3" "q"
"MAN1B1" "chr9" 139981379 140003635 "9q34.3" "q"
"DPP7" "chr9" 140004994 140009629 "9q34.3" "q"
"LRRC26" "chr9" 140063210 140064503 "9q34.3" "q"
"ANAPC2" "chr9" 140069236 140082989 "9q34.3" "q"
"SSNA1" "chr9" 140083099 140084822 "9q34.3" "q"
"TPRN" "chr9" 140086069 140098645 "9q34.3" "q"
"TMEM203" "chr9" 140098534 140100090 "9q34.3" "q"
"TUBB4B" "chr9" 140135665 140138159 "9q34.3" "q"
"NELFB" "chr9" 140149625 140167998 "9q34.3" "q"
"TOR4A" "chr9" 140172201 140177093 "9q34.3" "q"
"NRARP" "chr9" 140194083 140196703 "9q34.3" "q"
"EXD3" "chr9" 140201348 140317714 "9q34.3" "q"
"NOXA1" "chr9" 140317802 140328858 "9q34.3" "q"
"ENTPD8" "chr9" 140328816 140336268 "9q34.3" "q"
"NSMF" "chr9" 140342022 140353786 "9q34.3" "q"
"MRPL41" "chr9" 140445651 140447007 "9q34.3" "q"
"DPH7" "chr9" 140449356 140473387 "9q34.3" "q"
"ZMYND19" "chr9" 140476531 140484942 "9q34.3" "q"
"ARRDC1" "chr9" 140500106 140509812 "9q34.3" "q"
"EHMT1" "chr9" 140513444 140764468 "9q34.3" "q"
"ZMYND11" "chr10" 180405 300577 "10p15.3" "p"
"LARP4B" "chr10" 855484 977564 "10p15.3" "p"
"GTPBP4" "chr10" 1034338 1065876 "10p15.3" "p"
"IDI1" "chr10" 1085848 1095110 "10p15.3" "p"
"PFKP" "chr10" 3108525 3179904 "10p15.2" "p"
"PITRM1" "chr10" 3179920 3215003 "10p15.2" "p"
"KLF6" "chr10" 3818188 3827473 "10p15.2" "p"
"AKR1C3" "chr10" 5077546 5149878 "10p15.1" "p"
"NET1" "chr10" 5454514 5500426 "10p15.1" "p"
"ASB13" "chr10" 5680830 5708558 "10p15.1" "p"
"FAM208B" "chr10" 5726801 5805703 NA "q"
"GDI2" "chr10" 5807186 5884095 "10p15.1" "p"
"FBXO18" "chr10" 5931535 5979556 NA "q"
"IL15RA" "chr10" 5990855 6020150 "10p15.1" "p"
"RBM17" "chr10" 6130950 6159420 "10p15.1" "p"
"PFKFB3" "chr10" 6186881 6277495 "10p15.1" "p"
"KIN" "chr10" 7792925 7829990 "10p14" "p"
"ATP5C1" "chr10" 7830092 7849778 NA "q"
"TAF3" "chr10" 7860467 8058590 "10p14" "p"
"CELF2" "chr10" 11047259 11378674 "10p14" "p"
"USP6NL" "chr10" 11495945 11653753 "10p14" "p"
"UPF2" "chr10" 11962021 12085169 "10p14" "p"
"DHTKD1" "chr10" 12110971 12165224 "10p14" "p"
"NUDT5" "chr10" 12207324 12238143 "10p14" "p"
"CDC123" "chr10" 12237964 12292588 "10p14-p13" "p"
"CAMK1D" "chr10" 12391481 12877545 "10p13" "p"
"OPTN" "chr10" 13141449 13180291 "10p13" "p"
"PHYH" "chr10" 13319796 13344412 "10p13" "p"
"SEPHS1" "chr10" 13359424 13390297 "10p13" "p"
"BEND7" "chr10" 13480484 13570974 "10p13" "p"
"PRPF18" "chr10" 13628927 13672868 "10p13" "p"
"FAM107B" "chr10" 14560556 14816896 "10p13" "p"
"HSPA14" "chr10" 14880163 14913740 "10p13" "p"
"DCLRE1C" "chr10" 14939358 14996431 "10p13" "p"
"RPP38" "chr10" 15139179 15181817 "10p13" "p"
"NMT2" "chr10" 15144583 15210692 "10p13" "p"
"FAM171A1" "chr10" 15253642 15413061 "10p13" "p"
"FAM188A" "chr10" 15820169 15902519 NA "q"
"PTER" "chr10" 16478942 16555736 "10p13" "p"
"RSU1" "chr10" 16632610 16859527 "10p13" "p"
"VIM" "chr10" 17270258 17279592 "10p13" "p"
"STAM" "chr10" 17686124 17757913 "10p12.33" "p"
"NSUN6" "chr10" 18834490 18940551 "10p12.31" "p"
"ARL5B" "chr10" 18948334 18970568 "10p12.31" "p"
"NEBL" "chr10" 21068902 21463116 "10p12.31" "p"
"MLLT10" "chr10" 21823094 22032559 "10p12.31" "p"
"DNAJC1" "chr10" 22045466 22292698 "10p12.31" "p"
"COMMD3" "chr10" 22604903 22609235 "10p12.2" "p"
"BMI1" "chr10" 22610140 22620413 "10p12.2" "p"
"MSRB2" "chr10" 23384435 23410942 "10p12.2" "p"
"OTUD1" "chr10" 23728198 23731308 "10p12.2" "p"
"KIAA1217" "chr10" 23983675 24836772 "10p12.2-p12.1" "p"
"ARHGAP21" "chr10" 24872538 25012597 "10p12.1|10p12.3" "p"
"PRTFDC1" "chr10" 25137536 25241533 "10p12.1" "p"
"PDSS1" "chr10" 26986588 27035727 "10p12.1" "p"
"ABI1" "chr10" 27035522 27150016 "10p12.1" "p"
"ANKRD26" "chr10" 27280843 27389421 "10p12.1" "p"
"YME1L1" "chr10" 27399383 27444195 "10p12.1" "p"
"ACBD5" "chr10" 27484146 27531059 "10p12.1" "p"
"RAB18" "chr10" 27793197 27831143 "10p12.1" "p"
"MPP7" "chr10" 28339922 28623415 "10p12.1" "p"
"WAC-AS1" "chr10" 28811581 28821672 "10p12.1" "p"
"WAC" "chr10" 28821422 28912041 "10p12.1|10p12.1-p11.2" "p"
"BAMBI" "chr10" 28966271 28971868 "10p12.1" "p"
"SVIL" "chr10" 29746267 30025710 "10p11.23" "p"
"MTPAP" "chr10" 30598730 30663377 "10p11.23" "p"
"MAP3K8" "chr10" 30722866 30750762 "10p11.23" "p"
"ARHGAP12" "chr10" 32094365 32217742 "10p11.22" "p"
"KIF5B" "chr10" 32297938 32345359 "10p11.22" "p"
"EPC1" "chr10" 32556679 32667726 "10p11.22" "p"
"ITGB1" "chr10" 33189247 33294720 "10p11.22" "p"
"PARD3" "chr10" 34398488 35104253 "10p11.22-p11.21" "p"
"CUL2" "chr10" 35297479 35379570 "10p11.21" "p"
"CREM" "chr10" 35415719 35501886 "10p11.21" "p"
"CCNY" "chr10" 35535953 35860852 "10p11.21" "p"
"ZNF33A" "chr10" 38299578 38354016 "10p11.1" "p"
"ZNF37A" "chr10" 38383264 38414472 "10p11.1" "p"
